text
"لأكثر من سنه , عانى لاجئو من الصعوبات و الظلم . في رمضان كونوا الأمل وساهموا و ادعموا حمل …"
من ظن بالله خيرا فلن ي خيب الله ظنه ، و من شكره على نعمه زاده من فضله ، و من توكل عليه فهو كافيه و حسبه ♡ جمعه مب …
"لكل وجبه نرميها , هناك حلم طفل لا يكتمل . . . ادعموا حمله التي أطلقتها ام بي سي الأمل بالتعاون مع برنامج الأغذيه العا …"
عندما غني ت مع قبل عاما في الذكرى الستين لنكبه حينها ، إلى اليوم القضيه مستمره . . . …
حفل النجم يوم الإثنين حزيران يونيو على منصه النهضه . .
